mouse,strain,cell,id,cell_type,drug,condition,vm,ir_neg,ir_pos,tm_on,tm_neg_off,tm_pos_on,tm_pos_off,sag,spiking,ap_thresh,ap_max,ap_halfwidth,rheobase,ahp_max,epsp,epsp_max,epsp_latency,epsp_width,ipsp,ipsp_max,ipsp_latency,ipsp_width,psam_expression_cell,psam_expression_slice,psam_expression_animal,serotype,dillution
1258,sim1cre,S4C1,1258_S4C1,l2_sc,upsem20,20,-48.9359,28.213,27.7025,4.75042,8.66654,6.81689,4.55967,0.91775,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1258,sim1cre,S4C1,1258_S4C1,l2_sc,washout,20,-38.9655,35.6737,32.534,9.12574,8.05863,5.12374,5.68759,0.91702,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1259,sim1cre,S1C1,1259_S1C1,l2_fc,baseline,20,-77.3998,116.4,204.366,54.2075,14.2528,27.6338,30.1862,0.929269,Y,-38.5125,54.0375,0.45,107,-57.8125,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S1C1,1259_S1C1,l2_fc,upsem20,20,-60.3282,46.76,-10.2592,68.3679,4.29067,53.7481,-59.2401,0.974328,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S3C1,1259_S3C1,l2_fc,baseline,20,-75.5875,205.207,272.255,16.8361,18.6203,29.7015,23.6312,0.894021,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S3C1,1259_S3C1,l2_fc,upsem20,20,-65.2049,120.389,111.513,14.0954,13.2335,12.0193,11.2232,0.916861,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
270,ndnf,S2C3,270_S2C3,l1_in,baseline,20,NA,NA,NA,NA,NA,NA,NA,NA,Y,-30.8562,34.7687,0.51,85,-53.5,4.8726366,5.31460168,3.485604167,12.91373583,NA,-0.581024124,NA,NA,Y,Y,Y,9,1
270,ndnf,S2C3,270_S2C3,l1_in,upsem20,20,NA,NA,NA,NA,NA,NA,NA,NA,Y,-37.2687,22.1687,0.56,193.75,-49.9688,0.476921626,0.8583995,NA,NA,NA,-0.299688765,NA,NA,Y,Y,Y,9,1
270,ndnf,S2C3,270_S2C3,l1_in,washout,20,NA,NA,NA,NA,NA,NA,NA,NA,Y,-45.6688,31.275,0.58,100.625,-53.4688,1.63526508,2.021079,15.18526667,6.162754667,NA,-0.776838533,NA,NA,Y,Y,Y,9,1
284,ndnf,S1C2,284_S1C2,l2_pc,baseline,20,-60.8986,195.41,262.572,26.0954,30.4656,64.703,29.9172,0.691949,Y,NA,NA,NA,NA,NA,5.9994314,6.3388364,3.971577778,19.84289022,-0.212592648,-1.35616478,NA,NA,N,Y,Y,9,1
284,ndnf,S1C2,284_S1C2,l2_pc,upsem20,20,-61.68127,198.262,166.293,34.3414,58.5913,6.61382,10.5302,0.766107,Y,NA,NA,NA,NA,NA,2.189799533,2.411476,3.986191489,19.61401617,-0.016302133,-0.7562324,NA,NA,N,Y,Y,9,1
285,ndnf,S1C1,285_S1C1,l2_sc,baseline,20,-58.804,13.2695,29.7467,6.56129,6.7866,8.42698,7.96978,0.371554,Y,-36.8312,48.7563,0.61,241.875,-49.8125,0.134972559,0.525994633,NA,NA,-0.848012933,-1.013589,NA,NA,N,Y,Y,9,1
285,ndnf,S1C1,285_S1C1,l2_sc,upsem20,20,-63.698,18.8432,23.7969,7.24504,9.76894,11.2095,13.5927,0.370261,Y,-42.7,40.0125,0.63,195,-56.5313,0.003543132,0.5219461,NA,NA,-0.89184423,-1.152012333,NA,NA,N,Y,Y,9,1
285,ndnf,S4C2,285_S4C2,l2_sc,baseline,20,-61.0085,147.371,213.361,30.6999,28.3396,56.5684,40.8904,0.775194,Y,-43.8312,38.0688,0.66,31.875,-59.5,2.815168333,3.166904333,4.600769231,69.58346923,NA,-0.393512383,NA,NA,N,Y,Y,9,1
285,ndnf,S4C2,285_S4C2,l2_sc,upsem20,20,-68.7577,97.7655,76.648,14.3546,14.0784,12.2512,15.6646,0.675429,Y,-38.9562,40.6187,0.73,189.375,-55.2813,1.217253907,1.528216533,18.09030769,18.04979985,NA,-0.382199763,NA,NA,N,Y,Y,9,1
285,ndnf,S4C2,285_S4C2,l2_sc,washout,20,-59.2869,72.9483,107.432,10.905,9.19918,16.5445,10.1948,0.946608,Y,-40.3188,35.95,0.84,55,-54.4375,1.62181631,2.031402414,11.31395833,33.83483542,NA,-0.463209611,NA,NA,N,Y,Y,9,1
288,ndnf,S2C1,288_S2C1,l2_pc,baseline,20,-72.4988,40.0727,51.3512,16.4635,13.9429,21.721,20.5899,0.532642,Y,NA,NA,NA,NA,NA,1.942285333,2.056868667,3.8413,19.18239667,NA,-0.470214833,NA,NA,N,N,N,9,1
288,ndnf,S2C1,288_S2C1,l2_pc,upsem20,20,-77.9999,20.6722,26.2329,5.55544,4.22522,10.5267,5.79984,0.85735,N,NA,NA,NA,NA,NA,0.610929829,0.795188071,NA,NA,NA,-0.473785386,NA,NA,N,N,N,9,1
288,ndnf,S2C1,288_S2C1,l2_pc,washout,20,-71.5122,41.1994,53.2173,11.7276,28.3792,14.5157,17.6005,0.811395,Y,-48.5187,32.0313,0.57,236.875,-58.3438,1.176807233,1.372194367,4.988142857,19.92678429,NA,-0.5173892,NA,NA,N,N,N,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,baseline,20,-64.6297,21.9189,20.7735,7.13164,7.27661,9.82211,9.29849,0.450086,Y,-43.2938,49.725,0.54,350,-57.5938,NA,0.142655542,NA,NA,-2.632693,-2.865678,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem20,20,-63.9023,28.3942,32.2894,10.8531,9.35444,15.8954,13.3118,0.538363,Y,-44.125,46.0375,0.5,212.5,-57.8438,NA,0.142655542,NA,NA,-3.959944667,-4.126959333,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,washout,20,-63.0254,26.7424,30.0444,12.384,12.7043,16.267,15.5206,0.510829,Y,-45.0438,44.3,0.51,202.5,-58.5,NA,0.28351032,NA,NA,-4.124030333,-4.308157333,2.915166667,30.20912667,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,baseline,20,-64.6297,21.9189,20.7735,7.13164,7.27661,9.82211,9.29849,0.450086,Y,-43.2938,49.725,0.54,350,-57.5938,NA,0.142655542,NA,NA,-2.632693,-2.865678,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem20,20,-63.9023,28.3942,32.2894,10.8531,9.35444,15.8954,13.3118,0.538363,Y,-44.125,46.0375,0.5,212.5,-57.8438,NA,0.142655542,NA,NA,-3.959944667,-4.126959333,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,washout,20,-63.0254,26.7424,30.0444,12.384,12.7043,16.267,15.5206,0.510829,Y,-45.0438,44.3,0.51,202.5,-58.5,NA,0.28351032,NA,NA,-4.124030333,-4.308157333,2.915166667,30.20912667,N,Y,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,baseline,20,-65.1225,49.6546,48.1003,8.56554,10.2539,11.0859,11.5476,0.510078,Y,-45.1375,48.3312,0.59,160,-61.5625,NA,0.332903172,NA,NA,-0.209606717,-0.526471867,NA,NA,N,N,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,upsem20,20,-63.3392,64.1987,112.947,20.136,16.1398,39.831,26.2949,0.556281,Y,-45,45.7687,0.58,68.125,-62.5938,NA,0.446273633,NA,NA,-0.9396885,-1.1828936,NA,NA,N,N,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,washout,20,-76.4378,21.2931,28.7987,3.81877,3.45195,3.08083,2.93911,0.714929,Y,-49.6875,37.4453,0.65,546.875,-60,NA,0.39476569,NA,NA,-0.4527045,-0.584400967,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,baseline,20,-67.7257,44.7257,59.2458,12.1721,12.4158,20.0587,19.3227,0.509965,Y,-36.3937,42.7875,0.58,206.25,-51.0938,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,upsem20,20,-67.0968,46.0371,72.1573,17.5448,14.5287,20.5472,20.5493,0.65471,Y,-35.85,38.0313,0.57,190,-49.625,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,washout,20,-63.6628,55.7772,65.8606,14.9542,13.5496,22.8493,24.6023,0.663382,Y,-39.075,27.8438,0.56,150,-51.7188,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,
290,ndnf,S3C1,290_S3C1,l2_sc,baseline,20,-67.7257,44.7257,59.2458,12.1721,12.4158,20.0587,19.3227,0.509965,Y,-36.3937,42.7875,0.58,206.25,-51.0938,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,upsem20,20,-67.0968,46.0371,72.1573,17.5448,14.5287,20.5472,20.5493,0.65471,Y,-35.85,38.0313,0.57,190,-49.625,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,washout,20,-63.6628,55.7772,65.8606,14.9542,13.5496,22.8493,24.6023,0.663382,Y,-39.075,27.8438,0.56,150,-51.7188,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,
102,pv,S1C2,102_S1C2,l2_in,baseline,1020,-79.4515,76.7387,100.102,6.54777,4.62363,5.02014,5.05005,0.907317,Y,-38.8125,41.5,0.12,220.625,-66.9688,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,2
102,pv,S1C2,102_S1C2,l2_in,upsem10,1020,-77.2188,74.1447,73.4711,2.00895,5.09267,6.24365,4.25125,0.929135,Y,-41.5688,31.1625,0.14,298.125,-69.6563,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,2
102,pv,S1C2,102_S1C2,l2_in,upsem20,1020,-70.9854,52.6304,54.2724,6.45124,3.10746,2.9431,3.56733,0.969247,Y,-44.5625,24.6875,0.16,500,-66.0313,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,2
102,pv,S1C2,102_S1C2,l2_in,washout,1020,-74.0081,96.0468,100.305,3.46739,8.03442,7.33091,7.24171,0.983245,Y,-45.1563,0.0875,0.22,295,-63.6875,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,2
1258,sim1cre,S4C1,1258_S4C1,l2_sc,baseline,1020,-46.0614,44.28,54.144,12.6965,13.7838,17.1935,32.7633,0.630273,Y,-32.2125,34.8125,0.54,131,-41.7813,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1258,sim1cre,S4C1,1258_S4C1,l2_sc,upsem10,1020,-48.9283,35.9725,43.2759,12.2552,15.3161,13.7134,15.3519,0.688353,Y,-28.0188,35.6375,0.61,233,-37.0313,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1258,sim1cre,S4C1,1258_S4C1,l2_sc,upsem20,1020,-48.9359,28.213,27.7025,4.75042,8.66654,6.81689,4.55967,0.91775,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1258,sim1cre,S4C1,1258_S4C1,l2_sc,washout,1020,-38.9655,35.6737,32.534,9.12574,8.05863,5.12374,5.68759,0.91702,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,9,1
1259,sim1cre,S1C1,1259_S1C1,l2_fc,baseline,1020,-77.3998,116.4,204.366,54.2075,14.2528,27.6338,30.1862,0.929269,Y,-38.5125,54.0375,0.45,107,-57.8125,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S1C1,1259_S1C1,l2_fc,upsem10,1020,-65.2693,104.168,54.2382,7.27729,8.65487,9.19191,8.80755,0.950965,Y,-31.3375,46.6375,0.55,410.9375,-48.0313,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S1C1,1259_S1C1,l2_fc,upsem20,1020,-60.3282,46.76,-10.2592,68.3679,4.29067,53.7481,-59.2401,0.974328,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S3C1,1259_S3C1,l2_fc,baseline,1020,-75.5875,205.207,272.255,16.8361,18.6203,29.7015,23.6312,0.894021,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S3C1,1259_S3C1,l2_fc,upsem10,1020,-55.9242,135.096,83.2205,11.0642,11.5547,11.2165,10.8185,0.966153,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
1259,sim1cre,S3C1,1259_S3C1,l2_fc,upsem20,1020,-65.2049,120.389,111.513,14.0954,13.2335,12.0193,11.2232,0.916861,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,5,1
270,ndnf,S2C3,270_S2C3,l1_in,baseline,1020,-65.5734,226.974,296.297,5.67104,9.01956,8.32505,9.18816,0.847057,Y,-30.8562,34.7687,0.51,85,-53.5,4.8726366,5.31460168,3.485604167,12.91373583,NA,-0.581024124,NA,NA,Y,Y,Y,9,1
270,ndnf,S2C3,270_S2C3,l1_in,upsem10,1020,-64.7938,166.895,204.63,3.95928,8.53064,5.46665,4.53755,0.968801,Y,-41.45,31.0813,0.46,131.25,-58.9688,3.45435066,4.08259418,8.2319375,8.452793542,NA,-0.774280656,NA,NA,Y,Y,Y,9,1
270,ndnf,S2C3,270_S2C3,l1_in,upsem20,1020,NA,NA,NA,NA,NA,NA,NA,NA,Y,-37.2687,22.1687,0.56,193.75,-49.9688,0.476921626,0.8583995,NA,NA,NA,-0.299688765,NA,NA,Y,Y,Y,9,1
270,ndnf,S2C3,270_S2C3,l1_in,washout,1020,NA,NA,NA,NA,NA,NA,NA,NA,Y,-45.6688,31.275,0.58,100.625,-53.4688,1.63526508,2.021079,15.18526667,6.162754667,NA,-0.776838533,NA,NA,Y,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,baseline,1020,-64.6297,21.9189,20.7735,7.13164,7.27661,9.82211,9.29849,0.450086,Y,-43.2938,49.725,0.54,350,-57.5938,NA,0.142655542,NA,NA,-2.632693,-2.865678,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem10,1020,-61.8248,25.5567,29.9747,12.5245,11.5728,15.3116,16.1628,0.463965,Y,-43.5812,47.1437,0.52,196.875,-57.1875,NA,0.25415596,NA,NA,-4.333144,-4.488551667,2.750366667,28.23213333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem20,1020,-63.9023,28.3942,32.2894,10.8531,9.35444,15.8954,13.3118,0.538363,Y,-44.125,46.0375,0.5,212.5,-57.8438,NA,0.142655542,NA,NA,-3.959944667,-4.126959333,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,washout,1020,-63.0254,26.7424,30.0444,12.384,12.7043,16.267,15.5206,0.510829,Y,-45.0438,44.3,0.51,202.5,-58.5,NA,0.28351032,NA,NA,-4.124030333,-4.308157333,2.915166667,30.20912667,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,baseline,1020,-64.6297,21.9189,20.7735,7.13164,7.27661,9.82211,9.29849,0.450086,Y,-43.2938,49.725,0.54,350,-57.5938,NA,0.142655542,NA,NA,-2.632693,-2.865678,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem10,1020,-61.8248,25.5567,29.9747,12.5245,11.5728,15.3116,16.1628,0.463965,Y,-43.5812,47.1437,0.52,196.875,-57.1875,NA,0.25415596,NA,NA,-4.333144,-4.488551667,2.750366667,28.23213333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,upsem20,1020,-63.9023,28.3942,32.2894,10.8531,9.35444,15.8954,13.3118,0.538363,Y,-44.125,46.0375,0.5,212.5,-57.8438,NA,0.142655542,NA,NA,-3.959944667,-4.126959333,2.806233333,24.96826333,N,Y,Y,9,1
289,ndnf,S2C1,289_S2C1,l2_pc,washout,1020,-63.0254,26.7424,30.0444,12.384,12.7043,16.267,15.5206,0.510829,Y,-45.0438,44.3,0.51,202.5,-58.5,NA,0.28351032,NA,NA,-4.124030333,-4.308157333,2.915166667,30.20912667,N,Y,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,baseline,1020,-65.1225,49.6546,48.1003,8.56554,10.2539,11.0859,11.5476,0.510078,Y,-45.1375,48.3312,0.59,160,-61.5625,NA,0.332903172,NA,NA,-0.209606717,-0.526471867,NA,NA,N,N,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,upsem10,1020,-62.6523,62.5305,110.345,1.67422,18.5805,53.8098,39.6807,0.501391,Y,-43.1,46.9937,0.59,73.75,-61.5,NA,0.434410613,NA,NA,-0.9558164,-1.206213567,NA,NA,N,N,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,upsem20,1020,-63.3392,64.1987,112.947,20.136,16.1398,39.831,26.2949,0.556281,Y,-45,45.7687,0.58,68.125,-62.5938,NA,0.446273633,NA,NA,-0.9396885,-1.1828936,NA,NA,N,N,Y,9,1
289,ndnf,S3C1,289_S3C1,l2_sc,washout,1020,-76.4378,21.2931,28.7987,3.81877,3.45195,3.08083,2.93911,0.714929,Y,-49.6875,37.4453,0.65,546.875,-60,NA,0.39476569,NA,NA,-0.4527045,-0.584400967,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,baseline,1020,-67.7257,44.7257,59.2458,12.1721,12.4158,20.0587,19.3227,0.509965,Y,-36.3937,42.7875,0.58,206.25,-51.0938,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,upsem10,1020,-67.0178,39.3715,63.377,11.3231,9.7758,14.9578,15.8577,0.755685,Y,-33.45,37.225,0.55,228.125,-48.1563,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,upsem20,1020,-67.0968,46.0371,72.1573,17.5448,14.5287,20.5472,20.5493,0.65471,Y,-35.85,38.0313,0.57,190,-49.625,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,washout,1020,-63.6628,55.7772,65.8606,14.9542,13.5496,22.8493,24.6023,0.663382,Y,-39.075,27.8438,0.56,150,-51.7188,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,
290,ndnf,S3C1,290_S3C1,l2_sc,baseline,1020,-67.7257,44.7257,59.2458,12.1721,12.4158,20.0587,19.3227,0.509965,Y,-36.3937,42.7875,0.58,206.25,-51.0938,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,upsem10,1020,-67.0178,39.3715,63.377,11.3231,9.7758,14.9578,15.8577,0.755685,Y,-33.45,37.225,0.55,228.125,-48.1563,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,upsem20,1020,-67.0968,46.0371,72.1573,17.5448,14.5287,20.5472,20.5493,0.65471,Y,-35.85,38.0313,0.57,190,-49.625,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,1
290,ndnf,S3C1,290_S3C1,l2_sc,washout,1020,-63.6628,55.7772,65.8606,14.9542,13.5496,22.8493,24.6023,0.663382,Y,-39.075,27.8438,0.56,150,-51.7188,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,9,